AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 16:36:21 607,M_1-PreAMP-S_2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 16:38:28 668,194.800,-25.631,226576059,194800850, 0.000,28.822,0.05250855,0.01305812, 0.000, 0.000,-46.622,20.985 

2020/02/13 16:38:29 651,194.800,-25.626,243031288,194800841, 0.000,28.848,0.05572596,0.01076049, 0.000, 0.000,-46.625,20.993 

2020/02/13 16:38:30 628,194.800,-25.715,245562864,194800842, 0.000,28.741,0.08303268,0.02016184, 0.000, 0.000,-46.613,21.080 

2020/02/13 16:38:31 622,194.800,-25.707,225310256,194800847, 0.000,28.742,0,0.02000692, 0.000, 0.000,-46.617,20.904 

2020/02/13 16:38:32 604,194.800,-25.646,237968198,194800870, 0.000,28.796,0,0.02382571, 0.000, 0.000,-46.622,20.970 

2020/02/13 16:38:33 574,194.800,-25.714,245562896,194800856, 0.000,28.703,0,0.09269570, 0.000, 0.000,-46.626,21.086 

2020/02/13 16:38:34 574,194.800,-25.588,232904924,194800816, 0.000,28.847,0,0.02930296, 0.000, 0.000,-46.624,21.030 

2020/02/13 16:38:35 558,194.800,-25.560,235436560,194800846, 0.000,28.881,0.09605548,-0.01260481, 0.000, 0.000,-46.630,21.064 

2020/02/13 16:38:36 543,194.800,-25.631,243031256,194800831, 0.000,28.806,0.08015847,0.01593645, 0.000, 0.000,-46.627,20.990 

2020/02/13 16:38:37 529,194.800,-25.476,230373378,194800825, 0.000,28.998,0.03665190,-0.00119607, 0.000, 0.000,-46.617,21.073 

2020/02/13 16:38:38 513,194.800,-25.726,230373468,194800865, 0.000,28.709,0.09553160,0.04136966, 0.000, 0.000,-46.628,20.895 

2020/02/13 16:38:39 496,194.800,-25.536,245562832,194800831, 0.000,28.925,0.06167435,0.05264166, 0.000, 0.000,-46.618,21.076 

2020/02/13 16:38:40 458,194.800,-25.547,234170787,194800850, 0.000,28.932,0.06724127,-0.01813837, 0.000, 0.000,-46.632,20.977 

2020/02/13 16:38:41 465,194.800,-25.747,230373408,194800843, 0.000,28.716,0.07403374,0.00450028, 0.000, 0.000,-46.628,20.875 

2020/02/13 16:38:42 448,194.800,-25.717,244296996,194800809, 0.000,28.700,0.08374621,0.00260293, 0.000, 0.000,-46.632,20.909 

2020/02/13 16:38:43 433,194.800,-25.624,232904893,194800807, 0.000,28.823,0.07176528,-0.01008452, 0.000, 0.000,-46.646,20.928 

2020/02/13 16:38:44 417,194.800,-25.515,230373438,194800858, 0.000,28.937,0.07008963,0.00719799, 0.000, 0.000,-46.631,20.911 

2020/02/13 16:38:45 404,194.800,-25.555,244297092,194800847, 0.000,28.913,0.08709699,-0.01279994, 0.000, 0.000,-46.620,21.059 

